assay,n_assayed,n_positive_log_odds,selection_fraction,top_one_percent_precision,top_one_percent_enrichment,top_one_percent_recall,top_one_percent_retained,top_ten_percent_retained,fit_recall_at_1,unfit_recall_at_1,top_one_percent_recall_at_1,top_ten_percent_recall_at_1,best_recall_at_1,fit_recall_at_5,unfit_recall_at_5,top_one_percent_recall_at_5,top_ten_percent_recall_at_5,best_recall_at_5,fit_recall_at_8,unfit_recall_at_8,top_one_percent_recall_at_8,top_ten_percent_recall_at_8,best_recall_at_8,fit_recall_at_10,unfit_recall_at_10,top_one_percent_recall_at_10,top_ten_percent_recall_at_10,best_recall_at_10,fit_recall_at_16,unfit_recall_at_16,top_one_percent_recall_at_16,top_ten_percent_recall_at_16,best_recall_at_16,fit_recall_at_25,unfit_recall_at_25,top_one_percent_recall_at_25,top_ten_percent_recall_at_25,best_recall_at_25,fit_recall_at_32,unfit_recall_at_32,top_one_percent_recall_at_32,top_ten_percent_recall_at_32,best_recall_at_32,fit_recall_at_50,unfit_recall_at_50,top_one_percent_recall_at_50,top_ten_percent_recall_at_50,best_recall_at_50,fit_recall_at_64,unfit_recall_at_64,top_one_percent_recall_at_64,top_ten_percent_recall_at_64,best_recall_at_64,fit_recall_at_100,unfit_recall_at_100,top_one_percent_recall_at_100,top_ten_percent_recall_at_100,best_recall_at_100,fit_recall_at_128,unfit_recall_at_128,top_one_percent_recall_at_128,top_ten_percent_recall_at_128,best_recall_at_128,fit_recall_at_250,unfit_recall_at_250,top_one_percent_recall_at_250,top_ten_percent_recall_at_250,best_recall_at_250,fit_recall_at_256,unfit_recall_at_256,top_one_percent_recall_at_256,top_ten_percent_recall_at_256,best_recall_at_256,fit_recall_at_500,unfit_recall_at_500,top_one_percent_recall_at_500,top_ten_percent_recall_at_500,best_recall_at_500,top_one_percent_hit_at_8,random_top_one_percent_hit_at_8,top_ten_percent_hit_at_8,random_top_ten_percent_hit_at_8,best_hit_at_8,random_best_hit_at_8
A0A1I9GEU1_NEIME_Kennouche_2019,922,42,0.0455531453362256,0.023809523809523808,2.195238095238095,0.1,True,True,0.0,0.002173913043478261,0.0,0.0,0.0,0.0021645021645021645,0.008695652173913044,0.0,0.0,0.0,0.006493506493506494,0.010869565217391304,0.0,0.0,0.0,0.008658008658008658,0.013043478260869565,0.0,0.0,0.0,0.015151515151515152,0.01956521739130435,0.0,0.0,0.0,0.02813852813852814,0.02608695652173913,0.1,0.010752688172043012,0.0,0.0367965367965368,0.03260869565217391,0.1,0.021505376344086023,0.0,0.05844155844155844,0.05,0.1,0.053763440860215055,0.0,0.07142857142857142,0.06739130434782609,0.1,0.06451612903225806,0.0,0.11904761904761904,0.09782608695652174,0.1,0.15053763440860216,0.0,0.15584415584415584,0.12173913043478261,0.1,0.1827956989247312,0.0,0.29004329004329005,0.25217391304347825,0.2,0.3118279569892473,0.0,0.2922077922077922,0.26304347826086955,0.2,0.3118279569892473,0.0,0.5735930735930735,0.5108695652173914,0.7,0.6021505376344086,0.0,False,0.08385138640813028,False,0.5743028304045983,False,0.008676789587852451
A0A247D711_LISMN_Stadelmann_2021,1653,291,0.17604355716878403,0.010309278350515464,1.0024257125530625,0.17647058823529413,True,True,0.0,0.0012091898428053204,0.0,0.0,0.0,0.0036319612590799033,0.0024183796856106408,0.0,0.0,0.0,0.006053268765133172,0.0036275695284159614,0.0,0.0,0.0,0.00847457627118644,0.0036275695284159614,0.0,0.006024096385542169,0.0,0.013317191283292978,0.006045949214026602,0.0,0.018072289156626505,0.0,0.020581113801452784,0.009673518742442563,0.0,0.018072289156626505,0.0,0.024213075060532687,0.014510278113663845,0.0,0.018072289156626505,0.0,0.035108958837772396,0.02539298669891173,0.0,0.024096385542168676,0.0,0.04721549636803874,0.030229746070133012,0.0,0.030120481927710843,0.0,0.06658595641646489,0.05441354292623942,0.0,0.06626506024096386,0.0,0.0811138014527845,0.07376058041112454,0.0,0.08433734939759036,0.0,0.15980629539951574,0.14268440145102781,0.058823529411764705,0.16265060240963855,0.0,0.16585956416464892,0.14389359129383314,0.058823529411764705,0.1746987951807229,0.0,0.3305084745762712,0.27448609431680776,0.17647058823529413,0.3072289156626506,0.0,False,0.07953582462803876,False,0.5719632537829721,False,0.00483968542044777
ADRB2_HUMAN_Jones_2020,7800,917,0.11756410256410256,0.016357688113413305,1.6357688113413305,0.19230769230769232,True,True,0.0,0.0002564102564102564,0.0,0.0,0.0,0.0010256410256410256,0.0002564102564102564,0.0,0.001282051282051282,0.0,0.0015384615384615385,0.0005128205128205128,0.0,0.001282051282051282,0.0,0.0020512820512820513,0.0005128205128205128,0.0,0.002564102564102564,0.0,0.0033333333333333335,0.0007692307692307692,0.0,0.0038461538461538464,0.0,0.004871794871794872,0.0015384615384615385,0.0,0.005128205128205128,0.0,0.005897435897435898,0.002307692307692308,0.0,0.00641025641025641,0.0,0.009743589743589744,0.003076923076923077,0.01282051282051282,0.011538461538461539,0.0,0.01282051282051282,0.0035897435897435897,0.01282051282051282,0.014102564102564103,0.0,0.019230769230769232,0.00641025641025641,0.01282051282051282,0.020512820512820513,0.0,0.02487179487179487,0.007948717948717949,0.01282051282051282,0.026923076923076925,0.0,0.048205128205128206,0.015897435897435898,0.02564102564102564,0.05897435897435897,0.0,0.04948717948717949,0.016153846153846154,0.02564102564102564,0.06153846153846154,0.0,0.09743589743589744,0.03076923076923077,0.10256410256410256,0.12435897435897436,0.0,False,0.07728878529258565,True,0.5697045683042992,False,0.0010256410256409554
AICDA_HUMAN_Gajula_2014_3cycles,209,30,0.14354066985645933,0.0,0.0,0.0,False,True,0.02857142857142857,0.0,0.0,0.047619047619047616,0.0,0.05714285714285714,0.017241379310344827,0.0,0.09523809523809523,0.0,0.05714285714285714,0.034482758620689655,0.0,0.09523809523809523,0.0,0.05714285714285714,0.04597701149425287,0.0,0.09523809523809523,0.0,0.08571428571428572,0.07471264367816093,0.0,0.14285714285714285,0.0,0.08571428571428572,0.12643678160919541,0.0,0.14285714285714285,0.0,0.14285714285714285,0.15517241379310345,0.0,0.19047619047619047,0.0,0.3142857142857143,0.22413793103448276,0.0,0.2857142857142857,0.0,0.45714285714285713,0.27586206896551724,0.0,0.3333333333333333,0.0,0.6,0.4540229885057471,0.6666666666666666,0.47619047619047616,1.0,0.8285714285714286,0.5689655172413793,1.0,0.7619047619047619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,0.1110053180991395,True,0.5778912243163592,False,0.03827751196172269
AMIE_PSEAE_Wrenbeck_2017,6227,1072,0.1721535249718966,0.017723880597014924,1.751850864723999,0.30158730158730157,True,True,0.0,0.00032123353678124,0.0,0.0,0.0,0.0006422607578676942,0.0009637006103437199,0.0,0.0032102728731942215,0.0,0.0016056518946692357,0.0009637006103437199,0.0,0.004815409309791332,0.0,0.0019267822736030828,0.00128493414712496,0.0,0.004815409309791332,0.0,0.0032113037893384713,0.0019274012206874397,0.0,0.009630818619582664,0.0,0.005138086062941554,0.0028911018310311598,0.0,0.012841091492776886,0.0,0.006422607578676943,0.0038548024413748794,0.015873015873015872,0.014446227929373997,0.0,0.00899165061014772,0.007067137809187279,0.015873015873015872,0.014446227929373997,0.0,0.012524084778420038,0.008030838419530999,0.031746031746031744,0.01765650080256822,0.0,0.020552344251766216,0.011564407324124639,0.031746031746031744,0.030497592295345103,0.0,0.02569043031470777,0.015419209765499518,0.031746031746031744,0.038523274478330656,0.0,0.04784842646114323,0.032444587214905236,0.09523809523809523,0.07062600321027288,0.0,0.049132947976878616,0.03308705428846771,0.09523809523809523,0.0738362760834671,0.0,0.10083493898522801,0.059749437841310635,0.19047619047619047,0.15409309791332262,1.0,False,0.0781714822570102,True,0.5699323199648143,False,0.0012847277982976912
ANCSZ_Hobbs_2022,4670,311,0.06659528907922913,0.05787781350482315,5.75083806526647,0.3829787234042553,True,True,0.00042826552462526765,0.0,0.0,0.0,0.0,0.0017130620985010706,0.00042826552462526765,0.0,0.004282655246252677,0.0,0.002569593147751606,0.0008565310492505353,0.0,0.004282655246252677,0.0,0.003426124197002141,0.0008565310492505353,0.0,0.004282655246252677,0.0,0.00556745182012848,0.001284796573875803,0.02127659574468085,0.006423982869379015,0.0,0.009421841541755889,0.001284796573875803,0.02127659574468085,0.010706638115631691,0.0,0.011563169164882228,0.0021413276231263384,0.02127659574468085,0.01284796573875803,0.0,0.018843683083511777,0.002569593147751606,0.10638297872340426,0.027837259100642397,0.0,0.024839400428265525,0.002569593147751606,0.2127659574468085,0.042826552462526764,0.0,0.037687366167023555,0.005139186295503212,0.2553191489361702,0.06209850107066381,0.0,0.048394004282655244,0.006423982869379015,0.2553191489361702,0.07066381156316917,0.0,0.08822269807280514,0.018843683083511777,0.3617021276595745,0.11777301927194861,0.0,0.09036402569593148,0.019271948608137045,0.3829787234042553,0.11991434689507495,0.0,0.16488222698072805,0.04925053533190578,0.40425531914893614,0.20342612419700215,0.0,False,0.07779047885695767,True,0.5698197920906463,False,0.0017130620985009726
CAS9_STRP1_Spencer_2017_positive,8117,1515,0.18664531230750278,0.009900990099009901,0.9800772760202849,0.18292682926829268,True,True,0.0,0.0002463661000246366,0.0,0.0,0.0,0.0004928536224741252,0.0007390983000739098,0.0,0.0012315270935960591,0.0,0.0009857072449482504,0.0009854644000985464,0.0,0.0012315270935960591,0.0,0.0009857072449482504,0.0014781966001478197,0.0,0.0012315270935960591,0.0,0.0014785608674223755,0.002463661000246366,0.0,0.0012315270935960591,0.0,0.001971414489896501,0.004188223700418822,0.0,0.0012315270935960591,0.0,0.002957121734844751,0.004927322000492732,0.0,0.0012315270935960591,0.0,0.0046821094135041895,0.007637349100763735,0.012195121951219513,0.003694581280788177,0.0,0.007146377525874815,0.008622813500862282,0.012195121951219513,0.007389162561576354,0.0,0.012567767373090193,0.012071938901207195,0.024390243902439025,0.014778325123152709,0.0,0.01700344997535732,0.01453559990145356,0.036585365853658534,0.020935960591133004,0.0,0.03548546081813701,0.026114806602611482,0.036585365853658534,0.03571428571428571,0.0,0.0362247412518482,0.02685390490268539,0.036585365853658534,0.03694581280788178,0.0,0.0692459339576146,0.05395417590539542,0.04878048780487805,0.07512315270935961,0.0,False,0.07804997010161152,True,0.5698392706249007,False,0.0009855858075643598
CASP3_HUMAN_Roychowdhury_2020,1567,138,0.08806636885768986,0.007246376811594203,0.7096920289855072,0.0625,True,True,0.0012195121951219512,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.00853658536585366,0.0013386880856760374,0.0,0.0,0.0,0.00975609756097561,0.002677376171352075,0.0,0.006369426751592357,0.0,0.01707317073170732,0.002677376171352075,0.0,0.012738853503184714,0.0,0.02804878048780488,0.002677376171352075,0.0,0.025477707006369428,0.0,0.03414634146341464,0.00535475234270415,0.0,0.03184713375796178,0.0,0.05609756097560976,0.00535475234270415,0.0625,0.07006369426751592,0.0,0.07073170731707316,0.008032128514056224,0.0625,0.08280254777070063,0.0,0.11097560975609756,0.012048192771084338,0.0625,0.11464968152866242,0.0,0.1378048780487805,0.020080321285140562,0.0625,0.14012738853503184,0.0,0.25609756097560976,0.0535475234270415,0.1875,0.2802547770700637,0.0,0.26097560975609757,0.05622489959839357,0.1875,0.28662420382165604,0.0,0.501219512195122,0.11914323962516733,0.5,0.5732484076433121,0.0,False,0.07899476368216352,False,0.571121842967855,False,0.0051052967453733
CASP7_HUMAN_Roychowdhury_2020,1680,170,0.10119047619047619,0.01764705882352941,1.7439446366782005,0.17647058823529413,True,True,0.0011402508551881414,0.0,0.0,0.005952380952380952,0.0,0.005701254275940707,0.0,0.0,0.017857142857142856,0.0,0.009122006841505131,0.0,0.0,0.023809523809523808,0.0,0.011402508551881414,0.0,0.0,0.02976190476190476,0.0,0.018244013683010263,0.0,0.058823529411764705,0.041666666666666664,0.0,0.028506271379703536,0.0,0.058823529411764705,0.06547619047619048,0.0,0.036488027366020526,0.0,0.058823529411764705,0.07738095238095238,0.0,0.05473204104903079,0.0024906600249066002,0.11764705882352941,0.10714285714285714,0.0,0.06955530216647662,0.0037359900373599006,0.11764705882352941,0.14285714285714285,0.0,0.10490307867730901,0.009962640099626401,0.17647058823529413,0.18452380952380953,0.0,0.13112884834663627,0.0161892901618929,0.17647058823529413,0.23809523809523808,0.0,0.25997719498289623,0.0273972602739726,0.17647058823529413,0.39285714285714285,0.0,0.2668187001140251,0.0273972602739726,0.17647058823529413,0.39285714285714285,0.0,0.49486887115165334,0.0821917808219178,0.23529411764705882,0.5714285714285714,0.0,False,0.07830013258696811,True,0.5703317223489999,False,0.004761904761904856
CCDB_ECOLI_Adkar_2012,1176,59,0.050170068027210885,0.15254237288135594,1.007808036564464,0.05056179775280899,True,True,0.001697792869269949,0.0,0.0,0.0,0.0,0.006791171477079796,0.0017035775127768314,0.0,0.0,0.0,0.008488964346349746,0.005110732538330494,0.0,0.0,0.0,0.011884550084889643,0.005110732538330494,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.022071307300509338,0.005110732538330494,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.03395585738539898,0.008517887563884156,0.016853932584269662,0.016853932584269662,0.016853932584269662,0.042444821731748725,0.01192504258943782,0.016853932584269662,0.016853932584269662,0.016853932584269662,0.06281833616298811,0.022146507666098807,0.0449438202247191,0.0449438202247191,0.0449438202247191,0.08149405772495756,0.027257240204429302,0.056179775280898875,0.056179775280898875,0.056179775280898875,0.1273344651952462,0.04258943781942078,0.09550561797752809,0.09550561797752809,0.09550561797752809,0.16129032258064516,0.056218057921635436,0.11235955056179775,0.11235955056179775,0.11235955056179775,0.3242784380305603,0.10051107325383304,0.3089887640449438,0.3089887640449438,0.3089887640449438,0.3310696095076401,0.10391822827938671,0.3202247191011236,0.3202247191011236,0.3202247191011236,0.5942275042444821,0.2555366269165247,0.6404494382022472,0.6404494382022472,0.6404494382022472,False,0.7321245576189119,False,0.7321245576189119,False,0.7321245576189119
