all_rho,unfit_rho,fit_rho,fittest_rho,model
0.7210754385244689,0.2248986799444187,0.40899310753236506,0.34762500088123954,ProteinMPNN
0.4344919786096257,0.3272727272727273,-0.02097902097902098,0.41958041958041964,ProteinMPNN
0.6902522312584638,0.6017034102597526,0.05526899247829481,0.1535512256442489,ProteinMPNN
0.5839531707653418,0.517693012573128,0.16914968696642002,0.11544071333712769,ProteinMPNN
0.23801616812110651,0.07772775483731512,0.14311193096261496,-0.0018728199692725548,ProteinMPNN
-0.006128586063765024,0.04286792579126645,0.06161775019762483,-0.22976323669183704,ProteinMPNN
0.2708315399698385,0.1378694384790629,0.11378671259069448,0.017612294097186003,ProteinMPNN
0.6050906689448693,0.27525167930072175,0.21064223989938094,0.30090137566874114,ProteinMPNN
0.6347497087417809,0.10012217795484728,0.48701159553569434,-0.009680373407592131,ProteinMPNN
0.34692092770119415,0.10069748308778065,0.10265642451746378,0.100256487055979,ProteinMPNN
0.709545196604678,0.30702320657738724,0.2876676199705556,0.2201796557421062,ProteinMPNN
0.3675524877551553,0.2260210016187678,0.07073174114261892,0.07453740737832455,ProteinMPNN
0.2600141898477892,0.11944125904355339,0.14981801944590473,0.06052108951156785,ProteinMPNN
0.10305628324204177,-0.0893906007296897,0.19453441295546559,-0.022672064777327933,ProteinMPNN
0.503817338807723,0.2494656153783744,0.20565511909853426,-0.02242986386989279,ProteinMPNN
0.6793788571904518,0.11667121855664278,0.43543623547866284,0.2596299644275721,ProteinMPNN
0.5984526542537629,0.5496846894157579,0.14298696148710738,0.026432310354107844,ProteinMPNN
0.2644903538940846,0.22261129550242087,0.09902449484466389,-0.014082326931019584,ProteinMPNN
0.3109124813487153,0.2517258718365788,0.05993377365520859,0.0498895040606758,ProteinMPNN
0.47945468509984646,0.5399193548387098,-0.25980392156862747,0.3137254901960785,ProteinMPNN
0.1359735372206794,-0.7783117824941564,-0.13475609756097562,-0.12308039747064135,ProteinMPNN
0.40349614075122175,0.2590973666311907,0.0872994049140954,0.05146503024999948,ProteinMPNN
0.6961154534614666,0.37169979077601434,0.37459691645377086,0.07140739134075642,ProteinMPNN
0.3233184182989353,0.12138509549472455,0.05151680404954746,0.021175455193217264,ProteinMPNN
0.7439647604705089,0.16031219376126316,0.4179573397906543,0.12673672980586595,ProteinMPNN
0.35402045047357095,0.1290969920335975,0.20353302038100474,0.06746033604789257,ProteinMPNN
0.6731752959662889,0.28336816673358795,0.41408104838357457,0.12933434369021934,ProteinMPNN
0.6897368116813181,0.30245627918967366,0.33233929023114267,0.07235663496167699,ProteinMPNN
0.5023358849294971,0.09639488746462771,0.28097798780022903,0.15248692914459935,ProteinMPNN
0.3423993680829909,0.07661515684135692,0.21081397686973524,-0.14987241991406522,ProteinMPNN
0.3169921744921745,-0.13291796469366562,0.035669603126491346,0.20706556087242525,ProteinMPNN
0.7527295459254695,0.44390486592513023,0.2661279681153641,0.3133880989325235,ProteinMPNN
0.7320026498702148,0.5039744425389351,0.3136737806012667,0.24938097315497004,ProteinMPNN
0.32855753849363994,0.21567275920549714,-0.046276899638164164,-0.01428732189539655,ProteinMPNN
0.30911372302986934,0.3423290740726798,0.08794737730828968,0.054656587952701646,ProteinMPNN
0.24576102316563372,0.03826088916085083,0.18450125299739215,-0.0921738895995292,ProteinMPNN
0.6005717696190729,0.28464608630050897,0.3249998703205158,0.29473034448058183,ProteinMPNN
0.2383296399533185,0.09372248455260777,0.048309556380691815,0.06650381082665624,ProteinMPNN
0.5323165336160076,0.22046600517783532,0.22127859977968997,0.07846650873874024,ProteinMPNN
0.3283434465067829,0.1436464452665185,0.009270023424525807,-0.046643542293219216,ProteinMPNN
0.19512126742463798,0.011537184122727279,0.002782503783179199,0.07682569514188997,ProteinMPNN
0.700924352419431,0.5892751673317765,0.24910097266503742,-0.015203353347683244,ProteinMPNN
0.3287373449242165,0.3505296975816885,-0.1391095446571099,-0.2248707938866147,ProteinMPNN
0.6759341007357033,0.3627525830915661,0.32500946656384494,0.23770932697808056,ProteinMPNN
0.3929842684873411,0.36405724762321967,0.03241397269328874,0.08022716348017817,ProteinMPNN
0.44564108780156525,0.2329700045910905,0.2682601457305823,-0.04335876800088061,ProteinMPNN
0.3703386515014578,0.2149278807375975,0.11756336340183529,0.030647725996809188,ProteinMPNN
0.18107575429112965,0.17690119025657214,0.046830530088314885,-0.22107038058949768,ProteinMPNN
0.6962876405856148,0.47350504469684995,0.27707220390652015,0.1997365460752183,ProteinMPNN
-0.20531057373162634,,-0.02982456140350877,0.20877192982456141,ProteinMPNN
0.1956638703324867,0.0173111333096147,0.05500890247907564,0.2340199335548173,ProteinMPNN
0.17511781867654092,-0.07587981405308863,0.09356213306384556,0.1333376928610621,ProteinMPNN
0.5038704844580478,0.24902807590537587,0.15346231733579183,0.057411002706625934,ProteinMPNN
0.35665716786372526,0.12680911214765261,0.14323301862689594,0.043093249302271895,ProteinMPNN
0.33859476342062206,0.1842027938361113,0.15434866432920544,-0.10024084958821895,ProteinMPNN
0.06955791194101318,0.15813590791308302,-0.03417852092633566,-0.03897069304376511,ProteinMPNN
0.623254824541847,0.37221519182690826,0.24053970987134418,0.1291676615460769,ProteinMPNN
0.19276573377190356,0.06259352224832143,0.0834750285178901,0.04380155166467152,ProteinMPNN
0.15596792980268367,0.1513111008088751,0.06276700515498634,-0.010739344889196839,ProteinMPNN
0.4008680555154263,0.25993499442275536,0.08602468692389453,0.09997307011882434,ProteinMPNN
0.6117115274896469,0.22033148203729425,0.26731454985692277,0.19442879154743561,ProteinMPNN
0.3082988623026221,0.18102425507540112,0.18770857193574703,0.0939023258979989,ProteinMPNN
0.4393351506207927,0.09231059354303478,0.216181506958393,0.1811991081164443,ProteinMPNN
0.42546812209968843,0.3128821931092453,0.09353734437840443,0.04408390215123103,ProteinMPNN
