assay,n_assayed,n_positive_log_odds,selection_fraction,top_one_percent_precision,top_one_percent_enrichment,top_one_percent_recall,top_one_percent_retained,top_ten_percent_retained,fit_recall_at_1,top_one_percent_recall_at_1,top_ten_percent_recall_at_1,best_recall_at_1,fit_recall_at_5,top_one_percent_recall_at_5,top_ten_percent_recall_at_5,best_recall_at_5,fit_recall_at_8,top_one_percent_recall_at_8,top_ten_percent_recall_at_8,best_recall_at_8,fit_recall_at_10,top_one_percent_recall_at_10,top_ten_percent_recall_at_10,best_recall_at_10,fit_recall_at_16,top_one_percent_recall_at_16,top_ten_percent_recall_at_16,best_recall_at_16,fit_recall_at_25,top_one_percent_recall_at_25,top_ten_percent_recall_at_25,best_recall_at_25,fit_recall_at_32,top_one_percent_recall_at_32,top_ten_percent_recall_at_32,best_recall_at_32,fit_recall_at_50,top_one_percent_recall_at_50,top_ten_percent_recall_at_50,best_recall_at_50,fit_recall_at_64,top_one_percent_recall_at_64,top_ten_percent_recall_at_64,best_recall_at_64,fit_recall_at_100,top_one_percent_recall_at_100,top_ten_percent_recall_at_100,best_recall_at_100,fit_recall_at_128,top_one_percent_recall_at_128,top_ten_percent_recall_at_128,best_recall_at_128,fit_recall_at_250,top_one_percent_recall_at_250,top_ten_percent_recall_at_250,best_recall_at_250,fit_recall_at_256,top_one_percent_recall_at_256,top_ten_percent_recall_at_256,best_recall_at_256,fit_recall_at_500,top_one_percent_recall_at_500,top_ten_percent_recall_at_500,best_recall_at_500,top_one_percent_hit_at_8,random_top_one_percent_hit_at_8,top_ten_percent_hit_at_8,random_top_ten_percent_hit_at_8,best_hit_at_8,random_best_hit_at_8
A0A1I9GEU1_NEIME_Kennouche_2019,922,73,0.07917570498915401,0.0,0.0,0.0,False,True,0.0021645021645021645,0.0,0.0,0.0,0.004329004329004329,0.0,0.010752688172043012,0.0,0.008658008658008658,0.0,0.021505376344086023,0.0,0.010822510822510822,0.0,0.021505376344086023,0.0,0.017316017316017316,0.0,0.03225806451612903,0.0,0.021645021645021644,0.0,0.03225806451612903,0.0,0.032467532467532464,0.0,0.053763440860215055,0.0,0.05194805194805195,0.0,0.0967741935483871,0.0,0.0670995670995671,0.0,0.0967741935483871,0.0,0.11471861471861472,0.0,0.12903225806451613,0.0,0.15151515151515152,0.1,0.1935483870967742,0.0,0.29004329004329005,0.3,0.34408602150537637,0.0,0.2943722943722944,0.3,0.34408602150537637,0.0,0.5584415584415584,0.7,0.5698924731182796,0.0,False,0.08385138640813028,True,0.5743028304045983,False,0.008676789587852451
A0A247D711_LISMN_Stadelmann_2021,1653,105,0.06352087114337568,0.009523809523809525,0.9260504201680674,0.058823529411764705,True,True,0.0012106537530266344,0.0,0.0,0.0,0.0036319612590799033,0.0,0.012048192771084338,0.0,0.006053268765133172,0.0,0.012048192771084338,0.0,0.006053268765133172,0.0,0.012048192771084338,0.0,0.006053268765133172,0.0,0.012048192771084338,0.0,0.014527845036319613,0.0,0.012048192771084338,0.0,0.020581113801452784,0.0,0.024096385542168676,0.0,0.03631961259079903,0.0,0.03614457831325301,0.0,0.04721549636803874,0.0,0.04819277108433735,0.0,0.0811138014527845,0.058823529411764705,0.0963855421686747,0.0,0.10411622276029056,0.17647058823529413,0.13253012048192772,0.0,0.2033898305084746,0.23529411764705882,0.25903614457831325,0.0,0.20581113801452786,0.23529411764705882,0.25903614457831325,0.0,0.41646489104116224,0.4117647058823529,0.4879518072289157,0.0,False,0.07953582462803876,True,0.5719632537829721,False,0.00483968542044777
ADRB2_HUMAN_Jones_2020,7800,733,0.09397435897435898,0.01227830832196453,1.2278308321964528,0.11538461538461539,True,True,0.0,0.0,0.0,0.0,0.0010256410256410256,0.0,0.001282051282051282,0.0,0.0017948717948717949,0.0,0.002564102564102564,0.0,0.0020512820512820513,0.0,0.002564102564102564,0.0,0.003076923076923077,0.01282051282051282,0.0038461538461538464,0.0,0.004358974358974359,0.01282051282051282,0.005128205128205128,0.0,0.005384615384615384,0.01282051282051282,0.00641025641025641,0.0,0.008461538461538461,0.01282051282051282,0.011538461538461539,0.0,0.011025641025641025,0.01282051282051282,0.014102564102564103,0.0,0.018974358974358976,0.01282051282051282,0.023076923076923078,0.0,0.024102564102564103,0.02564102564102564,0.028205128205128206,0.0,0.048205128205128206,0.0641025641025641,0.05384615384615385,0.0,0.04948717948717949,0.0641025641025641,0.05512820512820513,0.0,0.09743589743589744,0.08974358974358974,0.1064102564102564,0.0,False,0.07728878529258565,True,0.5697045683042992,False,0.0010256410256409554
AICDA_HUMAN_Gajula_2014_3cycles,209,51,0.24401913875598086,0.058823529411764705,4.098039215686274,1.0,True,True,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.05714285714285714,0.0,0.047619047619047616,0.0,0.05714285714285714,0.0,0.047619047619047616,0.0,0.14285714285714285,0.0,0.19047619047619047,0.0,0.22857142857142856,0.0,0.2857142857142857,0.0,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.0,0.42857142857142855,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0,0.7142857142857143,1.0,0.8,1.0,0.7619047619047619,1.0,0.8857142857142857,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,0.1110053180991395,True,0.5778912243163592,False,0.03827751196172269
AMIE_PSEAE_Wrenbeck_2017,6227,643,0.1032599967881805,0.017107309486780714,1.690908193241008,0.1746031746031746,True,True,0.0003211303789338471,0.0,0.0,0.0,0.0006422607578676942,0.0,0.0,0.0,0.0012845215157353885,0.0,0.0,0.0,0.0019267822736030828,0.0,0.0016051364365971107,0.0,0.0032113037893384713,0.0,0.0016051364365971107,0.0,0.00449582530507386,0.0,0.004815409309791332,0.0,0.005780346820809248,0.0,0.004815409309791332,0.0,0.00899165061014772,0.015873015873015872,0.014446227929373997,0.0,0.011560693641618497,0.015873015873015872,0.01765650080256822,0.0,0.019588953114964676,0.047619047619047616,0.033707865168539325,0.0,0.026332691072575465,0.047619047619047616,0.038523274478330656,0.0,0.052986512524084775,0.07936507936507936,0.08186195826645265,0.0,0.054592164418754016,0.07936507936507936,0.08667736757624397,0.0,0.11175337186897881,0.15873015873015872,0.17656500802568217,0.0,False,0.0781714822570102,False,0.5699323199648143,False,0.0012847277982976912
ANCSZ_Hobbs_2022,4670,294,0.06295503211991435,0.05782312925170068,5.745404544796642,0.3617021276595745,True,True,0.0,0.0,0.0,0.0,0.0008565310492505353,0.02127659574468085,0.0021413276231263384,0.0,0.0021413276231263384,0.06382978723404255,0.006423982869379015,0.0,0.0029978586723768737,0.0851063829787234,0.008565310492505354,0.0,0.005139186295503212,0.10638297872340426,0.017130620985010708,0.0,0.007708779443254818,0.14893617021276595,0.021413276231263382,0.0,0.010706638115631691,0.19148936170212766,0.029978586723768737,0.0,0.01841541755888651,0.2127659574468085,0.05139186295503212,0.0,0.022698072805139188,0.2127659574468085,0.059957173447537475,0.0,0.035546038543897214,0.2978723404255319,0.08137044967880086,0.0,0.045396145610278375,0.3191489361702128,0.09207708779443255,0.0,0.0835117773019272,0.3404255319148936,0.1284796573875803,0.0,0.08565310492505353,0.3404255319148936,0.1284796573875803,0.0,0.1670235546038544,0.425531914893617,0.22483940042826553,0.0,True,0.07779047885695767,True,0.5698197920906463,False,0.0017130620985009726
CAS9_STRP1_Spencer_2017_positive,8117,933,0.11494394480719478,0.007502679528403001,0.7426737772200873,0.08536585365853659,True,True,0.0,0.0,0.0,0.0,0.0007392804337111878,0.0,0.0012315270935960591,0.0,0.0012321340561853129,0.0,0.0012315270935960591,0.0,0.0017249876786594382,0.0,0.0024630541871921183,0.0,0.002957121734844751,0.0,0.003694581280788177,0.0,0.004189255791030064,0.0,0.006157635467980296,0.0,0.005667816658452439,0.0,0.006157635467980296,0.0,0.009610645638245442,0.0,0.008620689655172414,0.0,0.011828486939379004,0.0,0.011083743842364532,0.0,0.01700344997535732,0.0,0.013546798029556651,0.0,0.02094627895515032,0.0,0.017241379310344827,0.0,0.040167570231641206,0.024390243902439025,0.03201970443349754,0.0,0.041399704287826515,0.024390243902439025,0.03201970443349754,0.0,0.07368161655988172,0.036585365853658534,0.07389162561576355,0.0,False,0.07804997010161152,True,0.5698392706249007,False,0.0009855858075643598
CASP3_HUMAN_Roychowdhury_2020,1567,158,0.10082961072112316,0.006329113924050633,0.6198575949367088,0.0625,True,True,0.0012195121951219512,0.0,0.0,0.0,0.004878048780487805,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.00853658536585366,0.0,0.0,0.0,0.015853658536585366,0.0,0.006369426751592357,0.0,0.024390243902439025,0.0,0.012738853503184714,0.0,0.032926829268292684,0.0,0.012738853503184714,0.0,0.0524390243902439,0.0,0.044585987261146494,0.0,0.06829268292682927,0.0,0.050955414012738856,0.0,0.1048780487804878,0.0625,0.09554140127388536,0.0,0.12926829268292683,0.0625,0.12101910828025478,0.0,0.24878048780487805,0.1875,0.25477707006369427,0.0,0.2524390243902439,0.1875,0.25477707006369427,0.0,0.47073170731707314,0.6875,0.5923566878980892,1.0,False,0.07899476368216352,False,0.571121842967855,False,0.0051052967453733
CASP7_HUMAN_Roychowdhury_2020,1680,177,0.10535714285714286,0.01694915254237288,1.6749750747756729,0.17647058823529413,True,True,0.0011402508551881414,0.0,0.0,0.0,0.004561003420752566,0.0,0.005952380952380952,0.0,0.00798175598631699,0.0,0.017857142857142856,0.0,0.010262257696693273,0.0,0.023809523809523808,0.0,0.01710376282782212,0.0,0.02976190476190476,0.0,0.026225769669327253,0.0,0.047619047619047616,0.0,0.03192702394526796,0.0,0.047619047619047616,0.0,0.05131128848346636,0.11764705882352941,0.08928571428571429,0.0,0.06499429874572406,0.11764705882352941,0.10714285714285714,0.0,0.10148232611174458,0.11764705882352941,0.17261904761904762,0.0,0.12998859749144812,0.11764705882352941,0.19642857142857142,0.0,0.2531356898517674,0.35294117647058826,0.3869047619047619,0.0,0.25997719498289623,0.35294117647058826,0.3869047619047619,0.0,0.4880273660205245,0.4117647058823529,0.5833333333333334,0.0,False,0.07830013258696811,True,0.5703317223489999,False,0.004761904761904856
CCDB_ECOLI_Adkar_2012,1176,72,0.061224489795918366,0.2638888888888889,1.743445692883895,0.10674157303370786,True,True,0.0,0.0,0.0,0.0,0.001697792869269949,0.0,0.0,0.0,0.003395585738539898,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.0050933786078098476,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.010186757215619695,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.01867572156196944,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.027164685908319185,0.028089887640449437,0.028089887640449437,0.028089887640449437,0.04923599320882852,0.06179775280898876,0.06179775280898876,0.06179775280898876,0.06451612903225806,0.08426966292134831,0.08426966292134831,0.08426966292134831,0.10526315789473684,0.14606741573033707,0.14606741573033707,0.14606741573033707,0.13921901528013583,0.19101123595505617,0.19101123595505617,0.19101123595505617,0.27164685908319186,0.3539325842696629,0.3539325842696629,0.3539325842696629,0.28183361629881154,0.3595505617977528,0.3595505617977528,0.3595505617977528,0.5602716468590832,0.6348314606741573,0.6348314606741573,0.6348314606741573,True,0.7321245576189119,True,0.7321245576189119,True,0.7321245576189119
