ESMC_600M,AMPLIFY_350M,ISMC_600M,SaProt_650M,ESM3_sm_both,ProteinMPNN,SolubleMPNN,ProstT5,UniProt_ID
0.5794414414006888,0.3684483937115516,0.5658630872321726,0.7844976076555024,0.8276965140123035,0.732987012987013,0.8022966507177034,0.7697881066302119,SPG1_STRSG
0.5763029227442444,0.36984195756236393,0.5677535128776933,0.7759955713410838,0.8204571466252375,0.7287808301197414,0.79859618724338,0.7639008174976125,SPG1_STRSG
0.7662478805909416,0.3546555124870912,0.7873516665072653,0.7708815118270279,0.7723518782940991,0.6617221839365942,0.6123621119120968,0.585748854952518,BLAT_ECOLX
0.7500912170789493,0.35312865924962933,0.771723634867112,0.7537503558425751,0.7473978900872942,0.6360370285064881,0.5874162444034621,0.5798150955098043,BLAT_ECOLX
0.7064618042743899,0.31469852334408543,0.7314591307804534,0.7061985733594327,0.6918981053083175,0.5604202279514545,0.5144070450758427,0.5319494670229742,BLAT_ECOLX
0.5362901066696395,0.21712041880973398,0.5430357410982584,0.5362262811040459,0.5296882830474048,0.4635108504454179,0.43054016147525304,0.4295691851912914,BLAT_ECOLX
0.6970027800120552,0.5234291809224381,0.6907379769712824,0.6517718976770083,0.463384025069126,0.4572169120059495,0.43319382039299176,0.3174110986843854,P53_HUMAN
0.05304770759102801,0.50826551037238,0.13780479049235989,0.5756473671360923,0.4253630695012252,0.44375184541512674,0.43577128536547943,0.1302081444227694,A0A2Z5U3Z0_9INFA
0.5004053727922403,0.4147861649408015,0.5323021049632614,0.5452287798359403,0.41664792331636846,0.3844542357236712,0.37096531009848766,0.21054874879319863,P53_HUMAN
0.5085311000244348,0.25296720421830327,0.46795044956325055,0.4467234862208321,0.4112382004590452,0.1945759150843458,0.20277037359427336,0.4138837177117194,DYR_ECOLI
0.08835872531792748,0.4739500630957014,0.16558488843118702,0.47756937038167446,0.3498235137416994,0.34734897003878046,0.34979173954047377,0.12168960676395539,A0A2Z5U3Z0_9INFA
0.3879683486744438,0.11163757875474041,0.397486674716899,0.3510961523374516,0.321415925397819,0.1926394522682787,0.2123924361301217,0.36506145291225517,DYR_ECOLI
0.42832837479412117,0.43047122250727615,0.45763652677686467,0.37774995432190545,0.2622229192878298,0.03201782931481792,0.04887208643038496,0.23295896636943889,RL40A_YEAST
0.40360287704939474,0.39590980875798387,0.40654610709348254,0.3312476101109891,0.23808462911018297,0.007057213344046504,0.018311243961767847,0.25490471204672827,RL40A_YEAST
