ESMC_600M,AMPLIFY_350M,ISMC_600M,SaProt_650M,ESM3_sm_both,ProteinMPNN,SolubleMPNN,ProstT5,UniProt_ID
0.5794414414006888,0.3684483937115516,0.5658630872321726,0.7844976076555024,0.8276965140123035,0.732987012987013,0.8022966507177034,0.7697881066302119,SPG1_STRSG
0.7396943614707625,0.29397664691562736,0.7706433708334912,0.721662918553452,0.7616526254709889,0.625035610783847,0.5899776862128516,0.48490579697973785,BLAT_ECOLX
0.7361440865641488,0.30637676185921064,0.7653291005289705,0.7151095240751275,0.7533624985807102,0.620809807369237,0.5783397882987179,0.4923889423909932,BLAT_ECOLX
0.7062683641617682,0.3146042206931494,0.7309972419957692,0.705270407841153,0.6913692804354342,0.5591983696530093,0.5133384287735632,0.5318746318640916,BLAT_ECOLX
0.5279661275330574,0.24787677370466984,0.5278931157472525,0.5269758180569083,0.5379993228503294,0.4393351506207927,0.40615693544763076,0.37655478839271395,BLAT_ECOLX
0.6970027800120552,0.5234291809224381,0.6907379769712824,0.6517718976770083,0.463384025069126,0.4572169120059495,0.43319382039299176,0.3174110986843854,P53_HUMAN
0.5186688511552924,0.17993572106125652,0.5087889294195601,0.4782046450613663,0.43691522137501476,0.24190633155215865,0.2573606910448205,0.49330577678845894,DYR_ECOLI
0.347058518239651,0.17301922175339898,0.33874740609102255,0.27984060009376466,0.42419127988748245,0.3082981715893109,0.11087669948429443,0.19155058339864434,F7YBW8_MESOW
0.509498506816952,0.25332174065063995,0.46904119685227846,0.44783474216593117,0.41230022566828517,0.19276573377190356,0.20149999074928795,0.41520943413522904,DYR_ECOLI
0.057708056568378546,0.45890988822553597,0.1194793408116377,0.5547687949308377,0.40606537798483866,0.42868063005510004,0.4150233932024149,0.05795803930723958,A0A2Z5U3Z0_9INFA
0.27207440814038636,0.21047031907951957,0.26953909365395873,0.37088263439237434,0.39601168397542724,0.19512126742463798,0.32350279336778276,0.10589496589638671,SPG1_STRSG
0.4805462155722799,0.5125769768367289,0.5032589038192951,0.4333495899544655,0.3870113479557562,0.06955791194101318,0.05903992584937354,0.32617624098852804,HSP82_YEAST
0.08835872531792748,0.4739500630957014,0.16558488843118702,0.47756937038167446,0.3498235137416994,0.34734897003878046,0.34979173954047377,0.12168960676395539,A0A2Z5U3Z0_9INFA
0.38751305439870587,0.39082242320622845,0.38338305313043314,0.35941529168961217,0.34826538184776246,0.15596792980268367,0.15597400329701783,0.13537491848712663,HSP82_YEAST
0.41522291450432,0.4140352685529194,0.40999356129973225,0.31764889907047145,0.3101719591439436,0.03322533381259401,0.016718644086616496,0.06327670486297088,HSP82_YEAST
0.4402423903337103,0.3157823352143699,0.48311499528880814,0.5425602251059071,0.2781373428212167,0.38464747122996346,0.3761207862546137,0.3400459878660931,P53_HUMAN
0.42397986040389846,0.42249252306789403,0.45209054429088846,0.3714227087635882,0.2588438547391947,0.02405746986847871,0.04173953266423074,0.23051958145626147,RL40A_YEAST
0.3895302948189005,0.3704210839000779,0.38454398111095744,0.3239359334395066,0.22737614009115809,0.01767893309638013,0.030666148205410693,0.24599070689135705,RL40A_YEAST
0.4727294417952205,0.35324798482693215,0.32089694574927163,0.260787102892366,0.20080606922712183,-0.20531057373162634,-0.14414414414414414,-0.15742057847321003,F7YBW8_MESOW
