proteinid,model,expression_rs,selection_rs,selection_name,variable_rs
CP2C9_HUMAN,ProteinMPNN,0.5683454478194847,0.599801380536588,Binding,0.7486963986178132
CP2C9_HUMAN,SolubleMPNN,0.5335110099103727,0.5840480016321064,Binding,0.7486963986178132
CP2C9_HUMAN,ESM3_sm_both,0.6548433781964557,0.6956640380353786,Binding,0.7486963986178132
CP2C9_HUMAN,ProstT5,0.5286171398473369,0.6058666598337725,Binding,0.7486963986178132
CP2C9_HUMAN,AMPLIFY_350M,0.5234729530014384,0.5456696063939289,Binding,0.7486963986178132
CP2C9_HUMAN,ESMC_600M,0.593062890285078,0.6220621234482369,Binding,0.7486963986178132
CP2C9_HUMAN,SaProt_650M,0.6081673718411057,0.6589681420986617,Binding,0.7486963986178132
CP2C9_HUMAN,ISMC_600M,0.6079372746723518,0.6395217379318431,Binding,0.7486963986178132
KCNE1_HUMAN,ProteinMPNN,0.15782352485150392,0.1344739233370007,Activity,0.05388452266867875
KCNE1_HUMAN,SolubleMPNN,0.10393209981242124,0.02654116208416996,Activity,0.05388452266867875
KCNE1_HUMAN,ESM3_sm_both,0.14650804756971217,0.1965623394191859,Activity,0.05388452266867875
KCNE1_HUMAN,ProstT5,0.11740990309770014,0.16354822175171913,Activity,0.05388452266867875
KCNE1_HUMAN,AMPLIFY_350M,0.08874861846012318,0.5497789059683632,Activity,0.05388452266867875
KCNE1_HUMAN,ESMC_600M,0.07777485989775919,0.5647695070219038,Activity,0.05388452266867875
KCNE1_HUMAN,SaProt_650M,0.09495295686692284,0.564883632986819,Activity,0.05388452266867875
KCNE1_HUMAN,ISMC_600M,0.09079277279265523,0.533725304689085,Activity,0.05388452266867875
KCNJ2_MOUSE,ProteinMPNN,0.2824128294282923,0.1887976456256729,Activity,0.2896062864223979
KCNJ2_MOUSE,SolubleMPNN,0.22662498435703365,0.14571626224004197,Activity,0.2896062864223979
KCNJ2_MOUSE,ESM3_sm_both,0.3397871817191282,0.3110765937510377,Activity,0.2896062864223979
KCNJ2_MOUSE,ProstT5,0.2633479952024786,0.3185338447012241,Activity,0.2896062864223979
KCNJ2_MOUSE,AMPLIFY_350M,0.2338046587475233,0.3032644129481548,Activity,0.2896062864223979
KCNJ2_MOUSE,ESMC_600M,0.3103655164906372,0.38274017474173316,Activity,0.2896062864223979
KCNJ2_MOUSE,SaProt_650M,0.32600092162792627,0.3391263225155298,Activity,0.2896062864223979
KCNJ2_MOUSE,ISMC_600M,0.3297271397535841,0.37007955930079806,Activity,0.2896062864223979
OXDA_RHOTO,ProteinMPNN,0.3702488793314152,0.2792358674716944,Activity,0.245668548592404
OXDA_RHOTO,SolubleMPNN,0.36749660232480985,0.26648651288306996,Activity,0.245668548592404
OXDA_RHOTO,ESM3_sm_both,0.39055560570399167,0.33647285298359225,Activity,0.245668548592404
OXDA_RHOTO,ProstT5,0.22757729628656195,0.32945824678259955,Activity,0.245668548592404
OXDA_RHOTO,AMPLIFY_350M,0.292554439693271,0.32489509873258354,Activity,0.245668548592404
OXDA_RHOTO,ESMC_600M,0.34869804999043824,0.37878264074521745,Activity,0.245668548592404
OXDA_RHOTO,SaProt_650M,0.39546410464637,0.40704532588076553,Activity,0.245668548592404
OXDA_RHOTO,ISMC_600M,0.33428261560885364,0.34811010034007783,Activity,0.245668548592404
Q53Z42_HUMAN,ProteinMPNN,0.4324755202652116,0.373551063078177,Binding,0.48216402267920133
Q53Z42_HUMAN,SolubleMPNN,0.42344576817155055,0.35361437803205864,Binding,0.48216402267920133
Q53Z42_HUMAN,ESM3_sm_both,0.5780616708223648,0.3354987461682939,Binding,0.48216402267920133
Q53Z42_HUMAN,ProstT5,0.47122117850563106,0.3016061485563295,Binding,0.48216402267920133
Q53Z42_HUMAN,AMPLIFY_350M,0.3754934357702043,0.12784810204143027,Binding,0.48216402267920133
Q53Z42_HUMAN,ESMC_600M,0.5329882869750091,0.33304841845002336,Binding,0.48216402267920133
Q53Z42_HUMAN,SaProt_650M,0.49500171922950337,0.3030199808515738,Binding,0.48216402267920133
Q53Z42_HUMAN,ISMC_600M,0.5037088711084057,0.28475469441545365,Binding,0.48216402267920133
S22A1_HUMAN,ProteinMPNN,0.4666953284098943,0.3993701372639663,Activity,0.7506347025320715
S22A1_HUMAN,SolubleMPNN,0.3909131065257694,0.35017554870260065,Activity,0.7506347025320715
S22A1_HUMAN,ESM3_sm_both,0.5585801270662591,0.4993336258259284,Activity,0.7506347025320715
S22A1_HUMAN,ProstT5,0.4987909056024293,0.46236071043626964,Activity,0.7506347025320715
S22A1_HUMAN,AMPLIFY_350M,0.5396648703315786,0.4572006882853109,Activity,0.7506347025320715
S22A1_HUMAN,ESMC_600M,0.6213885732851302,0.557622066911084,Activity,0.7506347025320715
S22A1_HUMAN,SaProt_650M,0.6240818106774171,0.5492780494062601,Activity,0.7506347025320715
S22A1_HUMAN,ISMC_600M,0.6075834948026596,0.5257355782759617,Activity,0.7506347025320715
SPIKE_SARS2,ProteinMPNN,0.6050906689448693,0.5350243334312624,Binding,0.7377423666827181
SPIKE_SARS2,SolubleMPNN,0.5939023960543106,0.535273698400805,Binding,0.7377423666827181
SPIKE_SARS2,ESM3_sm_both,0.5143460579207396,0.44438529852030284,Binding,0.7377423666827181
SPIKE_SARS2,ProstT5,0.0982160656412228,0.04214748694673554,Binding,0.7377423666827181
SPIKE_SARS2,AMPLIFY_350M,0.01761450540697785,-0.007988674167322322,Binding,0.7377423666827181
SPIKE_SARS2,ESMC_600M,0.018517025352903026,-0.02037297796805677,Binding,0.7377423666827181
SPIKE_SARS2,SaProt_650M,0.6352955343675825,0.5339843686146609,Binding,0.7377423666827181
SPIKE_SARS2,ISMC_600M,0.4961442107064766,0.5285241735096788,Binding,0.7377423666827181
VKOR1_HUMAN,ProteinMPNN,0.503817338807723,0.2019967315812241,Activity,0.25001534751884863
VKOR1_HUMAN,SolubleMPNN,0.2932295466570682,0.1630164785712778,Activity,0.25001534751884863
VKOR1_HUMAN,ESM3_sm_both,0.4825874040328279,0.3743361566711943,Activity,0.25001534751884863
VKOR1_HUMAN,ProstT5,0.4116010344273864,0.40519564522037393,Activity,0.25001534751884863
VKOR1_HUMAN,AMPLIFY_350M,0.44434102469310477,0.432406639852965,Activity,0.25001534751884863
VKOR1_HUMAN,ESMC_600M,0.45906973413077806,0.4352862148412559,Activity,0.25001534751884863
VKOR1_HUMAN,SaProt_650M,0.4869152954484118,0.38648217496855175,Activity,0.25001534751884863
VKOR1_HUMAN,ISMC_600M,0.43431777156769,0.4188988984741097,Activity,0.25001534751884863
