all_rho,unfit_rho,fit_rho,fittest_rho,model
0.11715550187458712,0.19439676306380213,-0.036184323640050066,0.12020592644047678,ESMC-600M
0.6241016299776443,0.33636363636363636,-0.5779343363791357,0.35664335664335667,ESMC-600M
0.6797014780819737,0.6198823068270657,0.16614144608126877,0.03230256783086965,ESMC-600M
0.25071811638314007,0.49788904404477524,0.08507126399092195,-0.06836276517945165,ESMC-600M
0.02547848523685503,0.05394958749426006,-0.09868656397774257,-0.06332823042418093,ESMC-600M
0.127719565178243,0.044402901306235455,0.14737439291724716,-0.16596979134868967,ESMC-600M
0.39968449509768944,0.2702774352244448,0.14131087296563288,0.03536335515327588,ESMC-600M
0.018517025352903026,-0.10220789406594157,0.057778245639055224,0.08156176249351665,ESMC-600M
0.4990435824732354,0.40525147760139557,0.1843200233655838,-0.016746695162276493,ESMC-600M
0.4600234353865693,0.1845544994220126,0.1371857576435156,0.020790842835353852,ESMC-600M
0.5402023075167476,0.43835132054118875,0.09937755136163277,0.002243801498889604,ESMC-600M
0.4610627881520049,0.4745608147598277,0.11536372857190529,0.0073022147225746195,ESMC-600M
0.7235757279856564,0.4900082906501114,0.40976288345284384,0.0920065921029168,ESMC-600M
0.03767295706688951,-0.374915608027228,0.2249127225808756,0.31055288865284786,ESMC-600M
0.45906973413077806,0.3042979794637685,0.10937403993873251,-0.07664081890370035,ESMC-600M
0.3675298932507728,0.01828900271292149,0.2376777332777836,-0.03167411799722691,ESMC-600M
0.3522526624778765,0.3727427721783541,0.06533234392031113,-0.2670491855043904,ESMC-600M
0.6271890956926688,0.6065921882211089,0.19225488959066225,-0.061174577087659325,ESMC-600M
0.3526913842813202,0.31971614601369625,0.07696219244553819,0.02501717733221254,ESMC-600M
0.593985279823352,0.6391129032258066,0.23175970021358147,0.4910814794043308,ESMC-600M
0.03409963124619956,0.29649972666444047,-0.051247882879020414,-0.03530169073354007,ESMC-600M
0.49560952116581364,0.2624891189385003,0.16089178908074483,-0.048144206968593485,ESMC-600M
-0.035013082412074174,-0.10279932476244968,0.0001841193795825301,0.09815106879670676,ESMC-600M
0.6360023616843021,0.4488719917501006,0.17299057392718362,0.08455161648108177,ESMC-600M
0.597637387302443,0.230387004862617,0.13443821250092794,0.009293426071000806,ESMC-600M
0.5330867383322417,0.2661685234396855,0.29272145833376,-0.08454377817666979,ESMC-600M
0.3643999418278701,0.24366211365368587,0.21889849612177265,-0.24598110693103878,ESMC-600M
0.5000749856893765,0.2625565053360428,0.24709261552450024,0.17992229220140185,ESMC-600M
0.6437786339576227,0.5158047752367138,0.2543186439968265,-0.0020242555345358366,ESMC-600M
0.6528596642528773,0.1508916538828019,0.3758955361390979,0.16591004712177435,ESMC-600M
0.5525153021532703,0.12417621668156398,0.29188157076343996,-0.059464766204920326,ESMC-600M
0.5662976500448564,0.06780101074458111,0.12656770609342297,0.08249510695458584,ESMC-600M
0.7197624989956002,0.6663680536568714,0.1879678220067956,0.2550284826866924,ESMC-600M
0.4721529240273978,0.5478673731366752,0.09433854003446977,-0.3022652640112745,ESMC-600M
0.3648046703462216,0.27381996485676924,0.13315327375784622,0.11526741686853569,ESMC-600M
0.21724705461213695,0.30217738287248663,-0.03590551449467857,0.13013824316475944,ESMC-600M
0.3977142147121985,0.09895629117910593,0.2365446370779723,-0.014907326070984507,ESMC-600M
0.4948930998466919,0.3153578533280201,0.17773332880823803,0.3174913121457282,ESMC-600M
0.3426137275002017,0.188703904031162,0.21854676852329707,-0.031825158583005005,ESMC-600M
0.39021321786792146,0.4092637410439322,0.15950010603800616,-0.20067670227082318,ESMC-600M
0.47371353103931063,0.3113170978829734,-0.08310278575360709,-0.005434440575065092,ESMC-600M
0.27207440814038636,0.057715971134200496,0.23495493079569768,0.01951620823864917,ESMC-600M
